datetime,x,y,seq
20200116 00:08,120.4727,23.5551,1
20200116 00:51,120.4735,23.5561,18
20200116 01:07,120.4722,23.5558,24
20200116 02:45,120.4743,23.5578,51
20200116 03:22,120.4716,23.5553,59
20200116 04:12,120.4739,23.5581,62
20200116 04:51,120.4716,23.5553,64
20200116 05:30,120.4745,23.5573,66
20200116 06:09,120.4742,23.5582,68
20200116 07:22,120.4718,23.5552,74
20200116 07:50,120.4729,23.5552,82
20200116 08:07,120.4761,23.5569,90
20200116 08:07,120.4807,23.5586,91
20200116 08:07,120.4756,23.5571,93
20200116 08:07,120.4806,23.5586,94
20200116 08:08,120.4737,23.5630,97
20200116 08:10,120.4804,23.5595,98
20200116 08:11,120.4751,23.5659,105
20200116 08:11,120.4803,23.5594,109
20200116 08:11,120.4756,23.5646,111
20200116 08:11,120.4803,23.5594,112
20200116 08:11,120.4749,23.5658,114
20200116 08:12,120.4797,23.5599,115
20200116 08:14,120.4756,23.5571,123
20200116 08:14,120.4742,23.5592,124
20200116 08:14,120.4790,23.5601,125
20200116 08:25,120.4755,23.5638,127
20200116 09:31,120.4765,23.5637,153
20200116 09:46,120.4790,23.5601,172
20200116 09:46,120.4764,23.5637,173
20200116 09:47,120.4790,23.5601,176
20200116 09:52,120.4743,23.5691,183
20200116 09:53,120.4790,23.5601,184
20200116 10:06,120.4786,23.5633,195
20200116 10:14,120.4790,23.5601,196
20200116 10:14,120.4786,23.5633,197
20200116 10:26,120.4796,23.5597,201
20200116 10:37,120.4743,23.5691,210
20200116 10:38,120.4767,23.5639,212
20200116 10:38,120.4802,23.5619,213
20200116 10:38,120.4770,23.5698,214
20200116 10:38,120.4791,23.5637,216
20200116 10:38,120.4770,23.5698,217
20200116 10:38,120.4800,23.5604,219
20200116 10:54,120.4805,23.5595,220
20200116 10:54,120.4767,23.5639,222
20200116 10:57,120.4803,23.5594,223
20200116 10:57,120.4744,23.5669,224
20200116 10:57,120.4803,23.5594,226
20200116 10:57,120.4762,23.5654,227
20200116 10:58,120.4802,23.5615,228
20200116 10:59,120.4760,23.5590,233
20200116 10:59,120.4768,23.5632,235
20200116 11:18,120.4810,23.5593,236
20200116 11:18,120.4768,23.5632,238
20200116 11:24,120.4790,23.5601,239
20200116 11:26,120.4803,23.5595,241
20200116 11:26,120.4743,23.5691,245
20200116 11:26,120.4797,23.5598,246
20200116 11:43,120.4762,23.5639,249
20200116 11:57,120.4790,23.5601,258
20200116 12:00,120.4755,23.5644,262
20200116 12:00,120.4790,23.5601,263
20200116 12:10,120.4755,23.5644,270
20200116 12:11,120.4755,23.5653,272
20200116 12:15,120.4755,23.5644,273
20200116 13:00,120.4764,23.5639,281
20200116 13:43,120.4783,23.5636,303
20200116 13:49,120.4766,23.5638,311
20200116 13:51,120.4783,23.5636,312
20200116 13:58,120.4764,23.5639,314
20200116 14:40,120.4754,23.5631,348
20200116 15:00,120.4756,23.5642,355
20200116 18:02,120.4773,23.5640,411
20200116 18:27,120.4763,23.5639,416
20200116 19:23,120.4725,23.5578,434
20200116 19:30,120.4716,23.5566,439
20200116 19:34,120.4714,23.5556,445
20200116 19:35,120.4725,23.5578,446
20200116 19:38,120.4710,23.5559,452
20200116 19:38,120.4725,23.5578,453
20200116 19:40,120.4729,23.5552,454
20200116 19:41,120.4720,23.5560,462
20200116 19:42,120.4729,23.5552,466
20200116 19:43,120.4714,23.5555,467
20200116 19:57,120.4715,23.5568,476
20200116 20:03,120.4747,23.5572,482
20200116 20:05,120.4729,23.5577,487
20200116 20:16,120.4719,23.5556,494
20200116 21:40,120.4729,23.5552,510
20200116 22:00,120.4718,23.5552,514
20200116 23:05,120.4728,23.5550,542
20200117 00:13,120.4727,23.5559,560
20200117 00:17,120.4744,23.5566,570
20200117 00:20,120.4727,23.5559,575
20200117 00:33,120.4737,23.5569,586
20200117 00:34,120.4727,23.5559,588
20200117 00:52,120.4718,23.5553,594
20200117 02:10,120.4731,23.5582,612
20200117 02:27,120.4719,23.5557,614
20200117 03:27,120.4729,23.5551,616
20200117 05:15,120.4718,23.5553,628
20200117 06:30,120.4745,23.5564,642
20200117 06:56,120.4722,23.5559,648
20200117 07:11,120.4734,23.5575,660
20200117 08:15,120.4721,23.5560,671
20200117 08:33,120.4737,23.5574,681
20200117 08:34,120.4716,23.5565,683
20200117 08:35,120.4751,23.5572,685
20200117 08:41,120.4775,23.5583,690
20200117 08:43,120.4794,23.5610,694
20200117 08:43,120.4740,23.5686,695
20200117 08:43,120.4794,23.5610,696
20200117 08:43,120.4758,23.5654,697
20200117 08:43,120.4740,23.5686,698
