datetime,x,y,seq,village
20200116 00:08,120.4727,23.5551,1,民雄鄉三興村
20200116 00:51,120.4735,23.5561,18,民雄鄉三興村
20200116 01:54,120.4720,23.5559,41,民雄鄉三興村
20200116 02:45,120.4743,23.5578,51,民雄鄉三興村
20200116 07:50,120.4729,23.5552,82,民雄鄉三興村
20200116 08:07,120.4761,23.5569,90,民雄鄉三興村
20200116 08:07,120.4807,23.5586,91,民雄鄉三興村
20200116 08:08,120.4737,23.5630,97,民雄鄉三興村
20200116 08:10,120.4804,23.5595,98,民雄鄉三興村
20200116 08:11,120.4751,23.5659,105,民雄鄉三興村
20200116 08:12,120.4801,23.5606,116,民雄鄉三興村
20200116 08:13,120.4791,23.5603,117,民雄鄉三興村
20200116 08:14,120.4756,23.5571,123,民雄鄉三興村
20200116 08:14,120.4742,23.5592,124,民雄鄉豊收村
20200116 08:14,120.4790,23.5601,125,民雄鄉三興村
20200116 08:25,120.4755,23.5638,127,民雄鄉三興村
20200116 09:31,120.4765,23.5637,153,民雄鄉三興村
20200116 09:46,120.4790,23.5601,172,民雄鄉三興村
20200116 09:52,120.4743,23.5691,183,民雄鄉三興村
20200116 10:06,120.4786,23.5633,195,民雄鄉三興村
20200116 10:14,120.4790,23.5601,196,民雄鄉三興村
20200116 10:34,120.4803,23.5594,208,民雄鄉三興村
20200116 10:37,120.4743,23.5691,210,民雄鄉三興村
20200116 10:38,120.4767,23.5639,212,民雄鄉三興村
20200116 10:38,120.4802,23.5619,213,民雄鄉三興村
20200116 10:38,120.4770,23.5698,214,民雄鄉三興村
20200116 10:38,120.4791,23.5637,216,民雄鄉三興村
20200116 10:38,120.4800,23.5604,219,民雄鄉三興村
20200116 10:54,120.4805,23.5595,220,民雄鄉三興村
20200116 10:54,120.4767,23.5639,222,民雄鄉三興村
20200116 10:57,120.4744,23.5669,224,民雄鄉三興村
20200116 10:57,120.4803,23.5594,226,民雄鄉三興村
20200116 10:57,120.4762,23.5654,227,民雄鄉三興村
20200116 10:58,120.4802,23.5615,228,民雄鄉三興村
20200116 10:59,120.4760,23.5590,233,民雄鄉三興村
20200116 10:59,120.4768,23.5632,235,民雄鄉三興村
20200116 11:18,120.4810,23.5593,236,民雄鄉三興村
20200116 11:24,120.4790,23.5601,239,民雄鄉三興村
20200116 11:26,120.4743,23.5691,245,民雄鄉三興村
20200116 11:43,120.4762,23.5639,249,民雄鄉三興村
20200116 11:57,120.4790,23.5601,258,民雄鄉三興村
20200116 12:00,120.4802,23.5593,265,民雄鄉三興村
20200116 12:10,120.4755,23.5644,270,民雄鄉三興村
20200116 12:11,120.4755,23.5653,272,民雄鄉三興村
20200116 13:00,120.4764,23.5639,281,民雄鄉三興村
20200116 13:43,120.4783,23.5636,303,民雄鄉三興村
20200116 14:40,120.4754,23.5631,348,民雄鄉三興村
20200116 15:00,120.4756,23.5642,355,民雄鄉三興村
20200116 18:02,120.4773,23.5640,411,民雄鄉三興村
20200116 19:23,120.4725,23.5578,434,民雄鄉三興村
20200116 19:30,120.4716,23.5566,439,民雄鄉三興村
20200116 19:34,120.4714,23.5556,445,民雄鄉三興村
20200116 19:35,120.4725,23.5578,446,民雄鄉三興村
20200116 19:40,120.4729,23.5552,454,民雄鄉三興村
20200116 19:41,120.4720,23.5560,462,民雄鄉三興村
20200116 19:57,120.4715,23.5568,476,民雄鄉三興村
20200116 20:03,120.4747,23.5572,482,民雄鄉三興村
20200116 20:05,120.4729,23.5577,487,民雄鄉三興村
20200116 20:16,120.4719,23.5556,494,民雄鄉三興村
20200116 21:40,120.4729,23.5552,510,民雄鄉三興村
20200117 00:17,120.4744,23.5566,570,民雄鄉三興村
20200117 00:45,120.4719,23.5557,592,民雄鄉三興村
20200117 02:10,120.4731,23.5582,612,民雄鄉豊收村
20200117 03:27,120.4729,23.5551,616,民雄鄉三興村
20200117 05:15,120.4718,23.5553,628,民雄鄉三興村
20200117 06:30,120.4745,23.5564,642,民雄鄉三興村
20200117 07:11,120.4734,23.5575,660,民雄鄉豊收村
20200117 08:15,120.4721,23.5560,671,民雄鄉三興村
20200117 08:35,120.4751,23.5572,685,民雄鄉三興村
20200117 08:41,120.4775,23.5583,690,民雄鄉三興村
20200117 08:43,120.4794,23.5610,694,民雄鄉三興村
20200117 08:43,120.4740,23.5686,695,民雄鄉三興村
20200117 08:43,120.4758,23.5654,697,民雄鄉三興村
20200117 08:50,120.4755,23.5641,699,民雄鄉三興村
20200117 09:06,120.4765,23.5644,703,民雄鄉三興村
20200117 12:14,120.4797,23.5599,775,民雄鄉三興村
20200117 12:15,120.4743,23.5592,778,民雄鄉豊收村
20200117 12:17,120.4684,23.5596,780,民雄鄉三興村
