datetime,x,y
20200121 09:01,121.5474,25.0329
20200121 12:03,121.5450,25.0332
20200121 12:05,121.5429,25.0333
20200121 12:08,121.5388,25.0335
20200121 12:09,121.5359,25.0333
20200121 12:11,121.5327,25.0334
20200121 12:12,121.5312,25.0335
20200121 12:13,121.5289,25.0338
20200121 12:16,121.5242,25.0355
20200121 12:23,121.5228,25.0361
20200121 12:26,121.5249,25.0377
20200121 12:26,121.5232,25.0364
20200121 12:26,121.5249,25.0377
20200121 12:26,121.5232,25.0365
20200121 12:26,121.5249,25.0377
20200121 12:26,121.5226,25.0363
20200121 12:26,121.5249,25.0377
20200121 12:34,121.5231,25.0385
20200121 12:34,121.5218,25.0367
20200121 12:34,121.5231,25.0385
20200121 12:39,121.5231,25.0358
20200121 13:12,121.5249,25.0376
20200121 13:12,121.5233,25.0341
20200121 13:12,121.5214,25.0369
20200121 13:12,121.5233,25.0341
20200121 13:12,121.5249,25.0377
20200121 13:12,121.5224,25.0364
20200121 13:12,121.5238,25.0349
20200121 13:12,121.5249,25.0376
20200121 13:12,121.5234,25.0343
20200121 13:12,121.5251,25.0382
20200121 13:12,121.5238,25.0349
20200121 13:12,121.5251,25.0382
20200121 13:13,121.5213,25.0376
20200121 13:22,121.5239,25.0384
20200121 13:28,121.5254,25.0349
20200121 13:31,121.5298,25.0338
20200121 13:32,121.5322,25.0334
20200121 13:32,121.5302,25.0335
20200121 13:32,121.5320,25.0334
20200121 13:32,121.5301,25.0337
20200121 13:33,121.5328,25.0327
20200121 13:34,121.5336,25.0309
20200121 13:35,121.538,25.0321
20200121 13:35,121.5395,25.0333
20200121 13:35,121.538,25.0321
20200121 13:37,121.5436,25.0331
20200121 13:42,121.5485,25.0336
20200121 18:36,121.5489,25.0319
20200121 18:36,121.5504,25.0332
20200121 18:36,121.5489,25.0319
20200121 18:36,121.5504,25.0332
20200121 18:36,121.5489,25.0319
20200121 18:36,121.5502,25.0331
20200121 18:38,121.5530,25.0332
20200121 18:39,121.5562,25.0331
20200121 18:42,121.5574,25.0339
20200121 18:43,121.5598,25.0336
20200121 18:43,121.5574,25.0339
20200121 18:43,121.5598,25.0336
20200121 18:45,121.5610,25.0328
20200121 18:49,121.5653,25.0336
20200121 18:51,121.5660,25.0357
20200121 18:52,121.5683,25.0372
20200121 18:55,121.5673,25.0358
20200121 19:17,121.5657,25.0358
20200121 19:19,121.5638,25.0329
20200121 19:19,121.5653,25.0357
20200121 19:19,121.5646,25.0329
20200121 19:19,121.5653,25.0357
20200121 19:19,121.5635,25.0338
20200121 19:19,121.5656,25.0329
20200121 19:19,121.5635,25.0338
20200121 19:19,121.5653,25.0357
20200121 19:19,121.5654,25.0338
20200121 19:20,121.5666,25.0329
20200121 19:21,121.5653,25.0316
20200121 19:21,121.5669,25.0329
20200121 19:21,121.5653,25.0316
20200121 19:21,121.5664,25.0328
20200121 19:22,121.5653,25.0305
20200121 19:23,121.5647,25.0289
20200121 19:23,121.5625,25.0292
20200121 19:23,121.5647,25.0289
20200121 19:23,121.5624,25.0293
20200121 19:23,121.5647,25.0289
20200121 19:23,121.5624,25.0293
20200121 19:24,121.5585,25.0284
20200121 19:24,121.5621,25.0297
20200121 19:24,121.5571,25.0288
20200121 19:24,121.5621,25.0297
20200121 19:24,121.5571,25.0288
20200121 19:24,121.5621,25.0297
20200121 19:24,121.5585,25.0285
20200121 19:24,121.5621,25.0297
20200121 19:24,121.5585,25.0284
20200121 19:24,121.5620,25.0297
20200121 19:24,121.5571,25.0288
20200121 19:24,121.5621,25.0297
20200121 19:24,121.5571,25.0288
20200121 19:24,121.5621,25.0297
20200121 19:25,121.5562,25.0275
20200121 19:25,121.5576,25.0284
20200121 19:25,121.5554,25.0241
20200121 19:25,121.5567,25.0282
20200121 19:25,121.5554,25.0241
20200121 19:25,121.5567,25.0282
20200121 19:25,121.5554,25.0241
20200121 19:25,121.5572,25.0289
20200121 19:25,121.5562,25.0275
20200121 19:26,121.5547,25.0264
20200121 19:26,121.5537,25.0242
20200121 19:26,121.5555,25.0271
20200121 19:26,121.5539,25.0255
20200121 19:27,121.5545,25.0223
20200121 19:27,121.5511,25.0216
20200121 19:27,121.5535,25.0243
20200121 19:27,121.5545,25.0223
20200121 19:27,121.5535,25.0243
20200121 19:27,121.5509,25.0218
20200121 19:27,121.5543,25.0242
20200121 19:28,121.5511,25.0230
20200121 19:31,121.5503,25.0248
20200121 19:32,121.5465,25.0247
